Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Li, T., Gong, M.","57210436286;57210423263;","A Review on Unsafe Behavior of Employees Based on Big Data",2020,"Advances in Intelligent Systems and Computing","1017",,,"650","657",,,"10.1007/978-3-030-25128-4_80","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070682709&doi=10.1007%2f978-3-030-25128-4_80&partnerID=40&md5=00168202f916463da5b90eee6433a119",Conference Paper,"Final",,Scopus,2-s2.0-85070682709
"Hu, F., Trivedi, R.H.","35316120900;35575097800;","Mapping hotel brand positioning and competitive landscapes by text-mining user-generated content",2020,"International Journal of Hospitality Management","84",, 102317,"","",,,"10.1016/j.ijhm.2019.102317","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066980365&doi=10.1016%2fj.ijhm.2019.102317&partnerID=40&md5=453efa8353a30fbdf86bf46948fdb55e",Article,"Final",,Scopus,2-s2.0-85066980365
"Zabotto, C.N., Sergio Luis da, S., Amaral, D.C., Janaina Mascarenhas Hornos, C., Benze, B.G.","57210992260;57210990944;7007019848;57211006148;9238800200;","Automatic digital mood boards to connect users and designers with kansei engineering",2019,"International Journal of Industrial Ergonomics","74",, 102829,"","",,,"10.1016/j.ergon.2019.102829","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072215664&doi=10.1016%2fj.ergon.2019.102829&partnerID=40&md5=c16988fdd23d57f070edca7b694baf74",Article,"Final",,Scopus,2-s2.0-85072215664
"Huck, N.","25936271700;","Large data sets and machine learning: Applications to statistical arbitrage",2019,"European Journal of Operational Research","278","1",,"330","342",,,"10.1016/j.ejor.2019.04.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064846164&doi=10.1016%2fj.ejor.2019.04.013&partnerID=40&md5=c682cc8436780d74c55c432bb213a8fb",Article,"Final",,Scopus,2-s2.0-85064846164
"van Rijmenam, M., Erekhinskaya, T., Schweitzer, J., Williams, M.-A.","57202455925;55957494500;35318747600;7410005152;","Avoid being the Turkey: How big data analytics changes the game of strategy in times of ambiguity and uncertainty",2019,"Long Range Planning","52","5", 101841,"","",,1,"10.1016/j.lrp.2018.05.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048439813&doi=10.1016%2fj.lrp.2018.05.007&partnerID=40&md5=b1fbf7440aeb393ba58552c5df8cd75e",Article,"Final",,Scopus,2-s2.0-85048439813
"Centobelli, P., Ndou, V.","55913795400;28267881300;","Managing customer knowledge through the use of big data analytics in tourism research",2019,"Current Issues in Tourism","22","15",,"1862","1882",,3,"10.1080/13683500.2018.1564739","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060179182&doi=10.1080%2f13683500.2018.1564739&partnerID=40&md5=bf0504385d13ba3eea6f2f2e6a68c689",Article,"Final",,Scopus,2-s2.0-85060179182
"Schwab, A., Zhang, Z.","7101877304;57210732788;","A New Methodological Frontier in Entrepreneurship Research: Big Data Studies",2019,"Entrepreneurship: Theory and Practice","43","5",,"843","854",,1,"10.1177/1042258718760841","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052121078&doi=10.1177%2f1042258718760841&partnerID=40&md5=33e9028912aaf24c5ad8e847e98114a8",Editorial,"Final",Open Access,Scopus,2-s2.0-85052121078
"Sousa, M.J., Pesqueira, A.M., Lemos, C., Sousa, M., Rocha, Á.","55480939900;57210162257;57210147225;57208873729;36103430000;","Decision-Making based on Big Data Analytics for People Management in Healthcare Organizations",2019,"Journal of Medical Systems","43","9", 290,"","",,,"10.1007/s10916-019-1419-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069740816&doi=10.1007%2fs10916-019-1419-x&partnerID=40&md5=3110cc8f0bc964900dd7c13c1d6088e6",Article,"Final",,Scopus,2-s2.0-85069740816
"Dam, N.A.K., Le Dinh, T., Menvielle, W.","57208837614;16643040700;39362064100;","A systematic literature review of big data adoption in internationalization",2019,"Journal of Marketing Analytics","7","3",,"182","195",,,"10.1057/s41270-019-00054-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065914199&doi=10.1057%2fs41270-019-00054-7&partnerID=40&md5=342c42fd6ac5b2d45b43ff09224e1b80",Article,"Final",,Scopus,2-s2.0-85065914199
"Shamim, S., Zeng, J., Shariq, S.M., Khan, Z.","57192268813;57196297581;57204182829;56189972400;","Role of big data management in enhancing big data decision-making capability and quality among Chinese firms: A dynamic capabilities view",2019,"Information and Management","56","6", 103135,"","",,2,"10.1016/j.im.2018.12.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058637738&doi=10.1016%2fj.im.2018.12.003&partnerID=40&md5=6c0cc942dc69c6c0a8853d36b023ab6b",Article,"Final",,Scopus,2-s2.0-85058637738
"Olmedilla, M., Send, H., Toral, S.L.","57006716100;55606659800;6602476265;","Identification of the unique attributes and topics within Smart Things Open Innovation Communities",2019,"Technological Forecasting and Social Change","146",,,"133","147",,,"10.1016/j.techfore.2019.05.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066743200&doi=10.1016%2fj.techfore.2019.05.004&partnerID=40&md5=ead35fd034fff16727b2a9a767fd9a4d",Article,"Final",,Scopus,2-s2.0-85066743200
"Lyutov, A., Uygun, Y., Hütt, M.-T.","57208753572;26638544600;7004777863;","Managing workflow of customer requirements using machine learning",2019,"Computers in Industry","109",,,"215","225",,,"10.1016/j.compind.2019.04.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065732680&doi=10.1016%2fj.compind.2019.04.010&partnerID=40&md5=b2c95a27c5f46e912291f679a9f1108b",Article,"Final",,Scopus,2-s2.0-85065732680
"Yin, X., Chen, J., Zhao, C.","57210357898;54946985800;57210427200;","Double screen innovation: Building sustainable core competence through knowledge management",2019,"Sustainability (Switzerland)","11","16", 4266,"","",,,"10.3390/su11164266","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070663968&doi=10.3390%2fsu11164266&partnerID=40&md5=beb6311ae29d486969590a1c1bc7d8c8",Article,"Final",Open Access,Scopus,2-s2.0-85070663968
"Fronzetti Colladon, A., Guardabascio, B., Innarella, R.","55876528100;55192450100;57194242334;","Using social network and semantic analysis to analyze online travel forums and forecast tourism demand",2019,"Decision Support Systems","123",, 113075,"","",,,"10.1016/j.dss.2019.113075","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067297946&doi=10.1016%2fj.dss.2019.113075&partnerID=40&md5=b9289aced036470594ce1991dd5d4da4",Article,"Final",,Scopus,2-s2.0-85067297946
