Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Frank, A.G., Mendes, G.H.S., Ayala, N.F., Ghezzi, A.","54790849500;56785594200;55599784700;24831905500;","Servitization and Industry 4.0 convergence in the digital transformation of product firms: A business model innovation perspective",2019,"Technological Forecasting and Social Change","141",,,"341","351",,7,"10.1016/j.techfore.2019.01.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060078495&doi=10.1016%2fj.techfore.2019.01.014&partnerID=40&md5=f806691dd8677291c20c953820fec917",Article,"Final",,Scopus,2-s2.0-85060078495
"Schreckling, E., Steiger, C.","57193955601;57193951059;","Digitalize or drown",2016,"Shaping the Digital Enterprise: Trends and Use Cases in Digital Innovation and Transformation",,,,"3","27",,2,"10.1007/978-3-319-40967-2_1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017656091&doi=10.1007%2f978-3-319-40967-2_1&partnerID=40&md5=b718f5d5033bfa7f68961ada1b35fd77",Book Chapter,"Final",,Scopus,2-s2.0-85017656091
"Berghaus, S., Back, A.","57199357188;16021435700;","Disentangling the Fuzzy Front End of Digital Transformation: Activities and Approaches",2018,"ICIS 2017: Transforming Society with Digital Innovation",,,,"","",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041743806&partnerID=40&md5=938ea3c6464603669cfc3f511d343bf1",Conference Paper,"Final",,Scopus,2-s2.0-85041743806
"Kolloch, M., Dellermann, D.","57193527261;57193757664;","Digital innovation in the energy industry: The impact of controversies on the evolution of innovation ecosystems",2018,"Technological Forecasting and Social Change","136",,,"254","264",,3,"10.1016/j.techfore.2017.03.033","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048737132&doi=10.1016%2fj.techfore.2017.03.033&partnerID=40&md5=528b1fa120dcbfaa84967f0b04eaa898",Article,"Final",,Scopus,2-s2.0-85048737132
"Mocker, M., Fonstad, N.O.","26424764800;56535384100;","Driving Digitization at Audi",2018,"ICIS 2017: Transforming Society with Digital Innovation",,,,"","",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041742284&partnerID=40&md5=f90d52a4349d7fa760c7bdcfcdc3cb50",Conference Paper,"Final",,Scopus,2-s2.0-85041742284
"Akram, A.","57197891473;","The influence of generativity on value creation-a study of digitized products",2015,"Proceedings of the 8th IADIS International Conference Information Systems 2015, IS 2015",,,,"51","60",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944039380&partnerID=40&md5=cac332262ba39d0d81882f74e06108ab",Conference Paper,"Final",,Scopus,2-s2.0-84944039380
"Nambisan, S., Wright, M., Feldman, M.","55946896600;7401558861;7402261132;","The digital transformation of innovation and entrepreneurship: Progress, challenges and key themes",2019,"Research Policy","48","8", 103773,"","",,4,"10.1016/j.respol.2019.03.018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063761859&doi=10.1016%2fj.respol.2019.03.018&partnerID=40&md5=94e961cd579f1e8690352d7e7f66646f",Article,"Final",,Scopus,2-s2.0-85063761859
"Øvrelid, E., Bygstad, B.","57190580470;22233399900;","The role of discourse in transforming digital infrastructures",2019,"Journal of Information Technology","34","3",,"221","242",,,"10.1177/0268396219831994","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063646416&doi=10.1177%2f0268396219831994&partnerID=40&md5=311c27714935bb7686089bd089af0de3",Article,"Final",,Scopus,2-s2.0-85063646416
"Vial, G.","56950697900;","Understanding digital transformation: A review and a research agenda",2019,"Journal of Strategic Information Systems","28","2",,"118","144",,1,"10.1016/j.jsis.2019.01.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061119991&doi=10.1016%2fj.jsis.2019.01.003&partnerID=40&md5=7963eac62fc61e0861af7849a43bc68e",Review,"Final",,Scopus,2-s2.0-85061119991
"Wißotzki, M., Wichmann, J.","55446925600;57211124738;","Application of the digital innovation and transformation process in zoo gardening facilities",2019,"CEUR Workshop Proceedings","2443",,,"83","97",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072739171&partnerID=40&md5=ad8af63610986aa6e5360f40a83bd170",Conference Paper,"Final",,Scopus,2-s2.0-85072739171
